Condition	Ptot	grRate	glucose (r_1714)	fructose (r_1709)	sucrose (r_2058)	CO2 (r_1672)	oxygen (r_1992)	pyruvate (r_2033)	ethyl acetate (r_1765)	glycerol (r_1808)	acetate (r_1634)	ethanol (r_1761)	formate (r_1793)	bayesianRMSEweight	source
glucose	NaN	0.36	-13.33333333	0	0	NaN	NaN	0	0	0.38	NaN	19.82608696	NaN	1	DLKcat
glucose	NaN	0.39	-15.44444444	0	0	NaN	NaN	0	0	0.37	NaN	22.4068323	NaN	1	DLKcat
glucose	NaN	0.37	-19.55555556	0	0	NaN	NaN	0	0	NaN	NaN	NaN	NaN	1	DLKcat
glucose	NaN	0.37	-14.8	0	0	NaN	NaN	0	0	1.1	0.4	22	NaN	1	DLKcat
glucose	NaN	0.38	-15.05555556	0	0	NaN	NaN	0	0	NaN	NaN	NaN	NaN	1	DLKcat
glucose	NaN	0.35	-17.66666667	0	0	NaN	NaN	0	0	0.34	NaN	23.51778656	NaN	1	DLKcat
glucose	NaN	0.37	-11.2	0	0	19.58	NaN	0	0	0.12	0.43	15.74	NaN	1	DLKcat
glucose	NaN	0.37	-13.66666667	0	0	NaN	NaN	0	0	NaN	NaN	NaN	NaN	1	DLKcat
glucose	NaN	0.38	-17.55555556	0	0	NaN	NaN	0	0	0.41	NaN	28.22463768	NaN	1	DLKcat
glucose	NaN	0.32	-25.38888889	0	0	NaN	NaN	0	0	0.43	NaN	42.73291925	NaN	1	DLKcat
fructose	NaN	0.1	0	-6.888888889	0	NaN	0	0	0	0.41	NaN	11.14130435	NaN	1	DLKcat
fructose	NaN	0.25	0	-12.44444444	0	NaN	0	0	0	0.41	NaN	20.256917	NaN	1	DLKcat
sucrose	NaN	0.32	0	0	-6.076541046	NaN	0	0	0	NaN	NaN	19.94202899	NaN	1	DLKcat
glucose	NaN	0.025	-0.3	0	0	0.75198	-0.73102	0	0	0	0	0	NaN	1	DLKcat
glucose	NaN	0.05	-0.6	0	0	1.3697	-1.3251	0	0	0	0	0	NaN	1	DLKcat
glucose	NaN	0.1	-1.1	0	0	2.4007	-2.3167	0	0	0	0	0	NaN	1	DLKcat
glucose	NaN	0.15	-1.7	0	0	3.6379	-3.5066	0	0	0	0	0	NaN	1	DLKcat
glucose	NaN	0.2	-2.3	0	0	4.8751	-4.6966	0	0	0	0	0	NaN	1	DLKcat
glucose	NaN	0.25	-2.8	0	0	5.906	-5.6881	0	0	0	0	0	NaN	1	DLKcat
glucose	NaN	0.28	-3.4	0	0	7.0413	-6.6773	0	0	0	0.08	0.11	NaN	1	DLKcat
glucose	NaN	0.3	-4.5	0	0	8.5667	-6.012	0	0	0	0.41	2.3	NaN	1	DLKcat
glucose	NaN	0.35	-8.6	0	0	15.2091	-5.3809	0	0	0	0.62	9.5	NaN	1	DLKcat
glucose	NaN	0.4	-11.1	0	0	19.3207	-5.0171	0	0	0	0.6	13.9	NaN	1	DLKcat
glucose	NaN	0.1	-5.771599115	0	0	9.91	0	0	0	0	0	9.52813144	NaN	1	DLKcat
glucose	NaN	0.2	-11.94488345	0	0	19.19	0	0	0	0	0	18.2168	NaN	1	DLKcat
glucose	NaN	0.3	-17.38	0	0	29.05	0	0	0	0	0	27.4696	NaN	1	DLKcat
glucose	NaN	0.4	-23.65408269	0	0	39.52	0	0	0	0	0	37.2195	NaN	1	DLKcat
glucose	NaN	0.4	-20.2	0	0	34.4	NaN	0	0	0	1	30	NaN	1	DLKcat
glucose	NaN	0.41	-14.22222222	0	0	NaN	NaN	0	0	0	NaN	25.625	NaN	1	DLKcat
glucose	0.5	0.1	-1.11550329	0	0	3.087765343	-2.928264928	NA	NA	NA	NA	NA	NA	1	overflow
glucose	0.55	0.1	-1.477902724	0	0	4.069756802	-4.18530233	NA	NA	NA	NA	NA	0.048607541	1	overflow
glucose	0.33	0.1	-2.013614504	0	0	6.303284138	-5.168723262	NA	NA	0.069594494	0.25302355	0.790476913	0.343516274	1	overflow
glucose	0.27	0.1	-3.227279363	0	0	7.880181174	-6.66106775	NA	NA	0.121780716	0.441703099	2.282585358	0.479663775	1	overflow
glucose	0.41	0.29	-5.415584674	0	0	11.03323855	-7.659524146	NA	NA	NA	0.67453483	3.680414594	NA	1	overflow
