rxnID	rxnName	equation	flux
r_0001_EXP_1	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0.6033121509724629 prot_P00045 + 3.143317927979973 prot_P32891 + (R)-lactate + 2.0 ferricytochrome c --> 2.0 ferrocytochrome c + pyruvate	0.0
r_0001_EXP_2	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0.5864625457346427 prot_P00044 + 3.143317927979973 prot_P32891 + (R)-lactate + 2.0 ferricytochrome c --> 2.0 ferrocytochrome c + pyruvate	0.0
r_0001_EXP_3	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0.6033121509724629 prot_P00045 + 2.658626997881764 prot_P39976 + (R)-lactate + 2.0 ferricytochrome c --> 2.0 ferrocytochrome c + pyruvate	0.0
r_0001_EXP_4	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0.5864625457346427 prot_P00044 + 2.658626997881764 prot_P39976 + (R)-lactate + 2.0 ferricytochrome c --> 2.0 ferrocytochrome c + pyruvate	0.0
r_0002_EXP_1	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0.6033121509724629 prot_P00045 + 2.853264009243212 prot_P46681 + (R)-lactate + 2.0 ferricytochrome c --> 2.0 ferrocytochrome c + pyruvate	0.0
r_0002_EXP_2	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0.5864625457346427 prot_P00044 + 2.853264009243212 prot_P46681 + (R)-lactate + 2.0 ferricytochrome c --> 2.0 ferrocytochrome c + pyruvate	0.0
r_0003	(R,R)-butanediol dehydrogenase	0.11954621771429885 prot_P39714 + (R,R)-2,3-butanediol + NAD --> (R)-acetoin + H+ + NADH	0.0
r_0003_REV	(R,R)-butanediol dehydrogenase (reversible)	0.0770037037037037 prot_P39714 + (R)-acetoin + H+ + NADH --> (R,R)-2,3-butanediol + NAD	0.0
r_0004_EXP_1	(S)-lactate:ferricytochrome-c 2-oxidoreductase	0.009357825567502987 prot_P00045 + 0.04893891875746714 prot_P00175 + (S)-lactate + 2.0 ferricytochrome c --> 2.0 ferrocytochrome c + pyruvate	0.0
r_0004_EXP_2	(S)-lactate:ferricytochrome-c 2-oxidoreductase	0.00909647550776583 prot_P00044 + 0.04893891875746714 prot_P00175 + (S)-lactate + 2.0 ferricytochrome c --> 2.0 ferrocytochrome c + pyruvate	0.02574053929360006
r_0005_EXP_1	1,3-beta-glucan synthase	1.236971332463594 prot_P06780 + 11.479117473701436 prot_P38631 + UDP-D-glucose --> (1->3)-beta-D-glucan + H+ + UDP	0.0
r_0005_EXP_2	1,3-beta-glucan synthase	1.236971332463594 prot_P06780 + 11.593400545580307 prot_P40989 + UDP-D-glucose --> (1->3)-beta-D-glucan + H+ + UDP	0.0
r_0005_EXP_3	1,3-beta-glucan synthase	1.236971332463594 prot_P06780 + 11.085457972250513 prot_Q04952 + UDP-D-glucose --> (1->3)-beta-D-glucan + H+ + UDP	0.07391400000000001
r_0006_EXP_1	1,6-beta-glucan synthase	0.38423648758316814 prot_P33336 + UDP-D-glucose --> (1->6)-beta-D-glucan + H+ + UDP	0.024696000000000003
r_0006_EXP_2	1,6-beta-glucan synthase	1.4417126800627231 prot_P32486 + UDP-D-glucose --> (1->6)-beta-D-glucan + H+ + UDP	0.0
r_0007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	0.25657118055555556 prot_P40545 + 1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide --> 5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	0.008356708763266002
r_0012	1-pyrroline-5-carboxylate dehydrogenase	11.932407407407407 prot_P07275 + 1-pyrroline-5-carboxylate + 2.0 H2O + NAD --> H+ + L-glutamate + NADH	0.0
r_0013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	0.013992777777777778 prot_P32626 + 0.011599444444444445 prot_Q03677 + 5-(methylsulfanyl)-2,3-dioxopentyl phosphate + H2O + oxygen --> 4-methylthio-2-oxobutanoate + formate + 2.0 H+ + phosphate	0.0013291366958389087
r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	188.09203142536475 prot_Q12362 + 2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone + H+ + H2O --> 5-amino-6-(5-phosphoribitylamino)uracil + ammonium	9.999999710998968e-05
r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	0.5311659867712155 prot_P33312 + 2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine + H+ + NADPH --> 2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone + NADP(+)	9.999999710998968e-05
r_0016_EXP_1	2-aceto-2-hydroxybutanoate synthase	0.08099546044098574 prot_P07342 + 0.03673476005188067 prot_P25605 + 2-oxobutanoate + H+ + pyruvate --> (S)-2-acetyl-2-hydroxybutanoate + carbon dioxide	0.0
r_0016_EXP_2	2-aceto-2-hydroxybutanoate synthase	0.04049773022049287 prot_P07342 + 2-oxobutanoate + H+ + pyruvate --> (S)-2-acetyl-2-hydroxybutanoate + carbon dioxide	0.0265490320174191
r_0017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	63.477512816721614 prot_P53848 + 2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol + ATP --> (2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate + AMP + H+	6.3400002545677125e-06
r_0018_EXP_1	2-aminoadipate transaminase	0.7210471896303212 prot_P10356 + 2-oxoadipic acid + L-glutamate --> 2-oxoglutarate + L-2-aminoadipate	0.0
r_0018_EXP_2	2-aminoadipate transaminase	1.219140625 prot_P53090 + 2-oxoadipic acid + L-glutamate --> 2-oxoglutarate + L-2-aminoadipate	0.0
r_0018_EXP_3	2-aminoadipate transaminase	0.009033549783549784 prot_P47039 + 2-oxoadipic acid + L-glutamate --> 2-oxoglutarate + L-2-aminoadipate	0.032939964005654
r_0018_REV_EXP_1	2-aminoadipate transaminase (reversible)	0.7210471896303212 prot_P10356 + 2-oxoglutarate + L-2-aminoadipate --> 2-oxoadipic acid + L-glutamate	0.0
r_0018_REV_EXP_2	2-aminoadipate transaminase (reversible)	0.8480978260869565 prot_P53090 + 2-oxoglutarate + L-2-aminoadipate --> 2-oxoadipic acid + L-glutamate	0.0
r_0018_REV_EXP_3	2-aminoadipate transaminase (reversible)	1.8137766188613647 prot_P47039 + 2-oxoglutarate + L-2-aminoadipate --> 2-oxoadipic acid + L-glutamate	0.0
r_0019	2-dehydropantoate 2-reductase	0.4757888888888889 prot_P38787 + 2-dehydropantoate + H+ + NADPH --> (R)-pantoate + NADP(+)	1.900000061120133e-05
r_0020_EXP_1	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0.09351092896174863 prot_P14843 + D-erythrose 4-phosphate + H2O + phosphoenolpyruvate --> 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid + phosphate	0.0
r_0020_EXP_2	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0.09050318761384335 prot_P32449 + D-erythrose 4-phosphate + H2O + phosphoenolpyruvate --> 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid + phosphate	0.03127094379016974
