rxnID	rxnName	equation	flux
r_0021	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	0.2834173315594083 prot_O13525 + 0.266570923780901 prot_P27680 + 0.191209663200305 prot_P41735 + 0.2544937516539746 prot_P49017 + 0.39274288726487816 prot_P53318 + 0.21981040253855474 prot_Q05779 + 2-hexaprenyl-6-methoxy-1,4-benzoquinone + S-adenosyl-L-methionine --> 2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone + H+ + S-adenosyl-L-homocysteine	0.0
r_0022	2-hexaprenyl-6-methoxyphenol monooxygenase	0.5305538973582232 prot_O13525 + 0.49901762096258073 prot_P27680 + 0.3579422312153493 prot_P41735 + 0.47640929737929355 prot_P49017 + 0.7352100464414428 prot_P53318 + 0.4114824774654426 prot_Q05779 + 2-hexaprenyl-6-methoxyphenol + oxygen --> 2-hexaprenyl-6-methoxy-1,4-benzoquinone + H2O	0.0
r_0023	2-isopropylmalate hydratase	0.7297564816305446 prot_P07264 + 2-isopropylmaleic acid + H2O --> 2-isopropylmalate	0.0
r_0023_REV	2-isopropylmalate hydratase (reversible)	0.8071027799745517 prot_P07264 + 2-isopropylmalate --> 2-isopropylmaleic acid + H2O	0.0362523293945085
r_0024_EXP_1	2-isopropylmalate synthase	1.3779912980420594 prot_P06208 + 3-methyl-2-oxobutanoate + acetyl-CoA + H2O --> 2-isopropylmalate + coenzyme A + H+	0.0
r_0024_EXP_2	2-isopropylmalate synthase	1.353637901861252 prot_Q12166 + 3-methyl-2-oxobutanoate + acetyl-CoA + H2O --> 2-isopropylmalate + coenzyme A + H+	0.0041453650674776465
r_0025	2-isopropylmalate synthase	1.3779912980420594 prot_P06208 + 3-methyl-2-oxobutanoate + acetyl-CoA + H2O --> 2-isopropylmalate + coenzyme A + H+	0.032106964327030856
r_0026_EXP_1	2-keto-4-methylthiobutyrate transamination	0.011265116279069768 prot_P38891 + 4-methylthio-2-oxobutanoate + L-glutamate --> 2-oxoglutarate + L-methionine	0.0
r_0026_EXP_2	2-keto-4-methylthiobutyrate transamination	0.010755813953488373 prot_P47176 + 4-methylthio-2-oxobutanoate + L-glutamate --> 2-oxoglutarate + L-methionine	0.0013291366958389087
r_0026_EXP_3	2-keto-4-methylthiobutyrate transamination	1.219140625 prot_P53090 + 4-methylthio-2-oxobutanoate + L-glutamate --> 2-oxoglutarate + L-methionine	0.0
r_0026_EXP_4	2-keto-4-methylthiobutyrate transamination	1.5784250269687163 prot_P38840 + 4-methylthio-2-oxobutanoate + L-glutamate --> 2-oxoglutarate + L-methionine	0.0
r_0027	2-methylcitrate dehydratase	8.195345706873871 prot_P49367 + homocitrate --> but-1-ene-1,2,4-tricarboxylic acid + H2O	0.032939964005654
r_0027_REV	2-methylcitrate dehydratase (reversible)	8.350111111111111 prot_P49367 + but-1-ene-1,2,4-tricarboxylic acid + H2O --> homocitrate	0.0
r_0028	2-methylcitrate synthase	0.10578556263269638 prot_P43635 + H2O + oxaloacetate + propionyl-CoA --> 2-methylcitrate + coenzyme A + H+	0.0
r_0029	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	0.048490056204063985 prot_standard + (2S)-2-isopropyl-3-oxosuccinate + H+ --> 4-methyl-2-oxopentanoate + carbon dioxide	0.0362523293945085
r_0030	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	0.048490056204063985 prot_standard + (2S)-2-isopropyl-3-oxosuccinate + H+ --> 4-methyl-2-oxopentanoate + carbon dioxide	0.0
r_0032	3',5'-bisphosphate nucleotidase	0.9886111111111111 prot_P32179 + adenosine 3',5'-bismonophosphate + H2O --> AMP + phosphate	0.023173551175571926
r_0033_EXP_1	3',5'-cyclic-nucleotide phosphodiesterase	0.5557671957671958 prot_P22434 + 3',5'-cyclic AMP + H2O --> AMP + H+	0.0
r_0033_EXP_2	3',5'-cyclic-nucleotide phosphodiesterase	2.529021558872305 prot_P06776 + 3',5'-cyclic AMP + H2O --> AMP + H+	0.0
r_0034	3',5'-cyclic-nucleotide phosphodiesterase	2.529021558872305 prot_P06776 + 3',5'-cyclic dAMP + H2O --> dAMP + H+	0.0
r_0035	3',5'-cyclic-nucleotide phosphodiesterase	2.529021558872305 prot_P06776 + 3',5'-cyclic IMP + H2O --> H+ + IMP	0.0
r_0036	3',5'-cyclic-nucleotide phosphodiesterase	2.529021558872305 prot_P06776 + 3',5'-cyclic GMP + H2O --> GMP + H+	0.0
r_0037	3',5'-cyclic-nucleotide phosphodiesterase	2.529021558872305 prot_P06776 + 3',5'-cyclic CMP + H2O --> CMP + H+	0.0
r_0038	3,4-dihydroxy-2-butanone-4-phosphate synthase	2.8494949494949493 prot_Q99258 + D-ribulose 5-phosphate --> 2-hydroxy-3-oxobutyl phosphate + formate + H+	0.00019999999421997937
r_0039	3-dehydroquinate dehydratase	0.1565905017921147 prot_P08566 + 3-dehydroquinate --> 3-dehydroshikimate + H2O	0.04370445988538707
r_0040	3-dehydroquinate synthase	0.1565905017921147 prot_P08566 + 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid --> 3-dehydroquinate + phosphate	0.04370445988538707
r_0041	3-dehydrosphinganine reductase	9.338785046728972 prot_P38342 + 3-ketosphinganine + H+ + NADPH --> NADP(+) + sphinganine	0.0
r_0042_EXP_1	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0.09050318761384335 prot_P32449 + D-erythrose 4-phosphate + H2O + phosphoenolpyruvate --> 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid + phosphate	0.012433516095217333
r_0042_EXP_2	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0.09351092896174863 prot_P14843 + D-erythrose 4-phosphate + H2O + phosphoenolpyruvate --> 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid + phosphate	0.0
r_0043_EXP_1	3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase	0.2467406921478821 prot_Q12184 + 3-hexaprenyl-4-hydroxybenzoic acid + 0.5 oxygen --> 3-hexaprenyl-4,5-dihydroxybenzoic acid	0.0
r_0043_EXP_2	3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase	0.30872310057092667 prot_P48360 + 3-hexaprenyl-4-hydroxybenzoic acid + 0.5 oxygen --> 3-hexaprenyl-4,5-dihydroxybenzoic acid	0.0
r_0044	3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase	1.6143115942028985 prot_P33751 + 3.391545893719807 prot_Q03034 + 3-hexaprenyl-4-hydroxy-5-methoxybenzoic acid + H+ --> 2-hexaprenyl-6-methoxyphenol + carbon dioxide	0.0
r_0045	3-hydroxy-L-kynurenine hydrolase	4.0501587301587305 prot_Q05979 + 3-hydroxy-L-kynurenine + H2O --> 3-hydroxyanthranilate + H+ + L-alanine	0.000606999997398135
r_0057	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	0.07066365979381443 prot_Q02207 + (S)-3-hydroxytetradecanoyl-CoA + NAD --> 3-oxotetradecanoyl-CoA + H+ + NADH	0.002857383788379246
r_0058	3-hydroxyanthranilate 3,4-dioxygenase	0.22483333333333333 prot_P47096 + 3-hydroxyanthranilate + oxygen --> 2-amino-3-carboxymuconate-6-semialdehyde	0.000606999997398135
r_0059	3-isopropylmalate 3-methyltransferase	195.1806339044363 prot_P32643 + (2R,3S)-3-isopropylmalate + S-adenosyl-L-methionine --> 3-hydroxy-2-isopropyl-4-methoxy-4-oxobutanoate + S-adenosyl-L-homocysteine	0.0
r_0060	3-isopropylmalate dehydratase	0.6097968324816225 prot_P07264 + (2R,3S)-3-isopropylmalate --> 2-isopropylmaleic acid + H2O	0.0
r_0060_REV	3-isopropylmalate dehydratase (reversible)	0.7297564816305446 prot_P07264 + 2-isopropylmaleic acid + H2O --> (2R,3S)-3-isopropylmalate	0.0362523293945085
r_0061	3-isopropylmalate dehydrogenase	0.06638207225630538 prot_P04173 + (2R,3S)-3-isopropylmalate + NAD --> (2S)-2-isopropyl-3-oxosuccinate + H+ + NADH	0.0362523293945085
r_0062_EXP_1	3-methyl-2-oxobutanoate decarboxylase	0.27589605734767025 prot_P26263 + 3-methyl-2-oxobutanoate + H+ --> carbon dioxide + isobutyraldehyde	0.0
r_0062_EXP_2	3-methyl-2-oxobutanoate decarboxylase	0.11780651340996169 prot_P06169 + 3-methyl-2-oxobutanoate + H+ --> carbon dioxide + isobutyraldehyde	0.0
r_0062_EXP_3	3-methyl-2-oxobutanoate decarboxylase	0.27738351254480287 prot_P16467 + 3-methyl-2-oxobutanoate + H+ --> carbon dioxide + isobutyraldehyde	0.0
r_0063	3-methyl-2-oxobutanoate hydroxymethyltransferase	12.226834113807293 prot_P38122 + 3-methyl-2-oxobutanoate + 5,10-methylenetetrahydrofolate + H2O --> 2-dehydropantoate + THF	1.900000061120133e-05
r_0064_EXP_1	3-methyl-2-oxopentanoate decarboxylase	0.13096934865900384 prot_Q07471 + (S)-3-methyl-2-oxopentanoate + H+ --> 2-methylbutanal + carbon dioxide	0.0
r_0064_EXP_2	3-methyl-2-oxopentanoate decarboxylase	0.27589605734767025 prot_P26263 + (S)-3-methyl-2-oxopentanoate + H+ --> 2-methylbutanal + carbon dioxide	0.0
r_0064_EXP_3	3-methyl-2-oxopentanoate decarboxylase	0.11780651340996169 prot_P06169 + (S)-3-methyl-2-oxopentanoate + H+ --> 2-methylbutanal + carbon dioxide	0.0
r_0064_EXP_4	3-methyl-2-oxopentanoate decarboxylase	0.27738351254480287 prot_P16467 + (S)-3-methyl-2-oxopentanoate + H+ --> 2-methylbutanal + carbon dioxide	0.0
r_0065	3-phosphoshikimate 1-carboxyvinyltransferase	1.4447337962962963 prot_P08566 + 3-phosphoshikimic acid + phosphoenolpyruvate --> 5-O-(1-carboxyvinyl)-3-phosphoshikimic acid + phosphate	0.04370445988538707
r_0066	4-amino-4-deoxychorismate synthase	1446.797385620915 prot_P37254 + chorismate + L-glutamine --> 4-amino-4-deoxychorismate + L-glutamate	6.3400002545677125e-06
r_0067	4-aminobenzoate synthase	6.233918128654971 prot_Q03266 + 4-amino-4-deoxychorismate --> 4-aminobenzoate + H+ + pyruvate	6.3400002545677125e-06
r_0068	4-aminobutyrate transaminase	43.25653594771242 prot_P17649 + 2-oxoglutarate + gamma-aminobutyrate --> L-glutamate + succinic semialdehyde	0.0
r_0069	4-hydroxy-L-threonine synthase	0.003912990196078431 prot_P16120 + 4-(phosphonooxy)-L-threonine + H2O --> 4-hydroxy-L-threonine + phosphate	0.0
r_0070	4-hydroxybenzoate formation	0.6162073031087573 prot_standard + 4-hydroxybenzoyl-CoA + H2O --> 4-hydroxybenzoate + coenzyme A + H+	0.0
r_0072	4-methyl-2-oxopentanoate decarboxylase	2.2341830065359476 prot_Q07471 + 4-methyl-2-oxopentanoate + H+ --> 3-methylbutanal + carbon dioxide	0.0
r_0073_EXP_1	4PP-IP5 depyrophosphorylation to IP6	0.9485014619883041 prot_Q06685 + 4-diphospho-1D-myo-inositol pentakisphosphate + H2O --> H+ + myo-inositol hexakisphosphate + phosphate	0.0
r_0073_EXP_2	4PP-IP5 depyrophosphorylation to IP6	2396.8888888888887 prot_Q99321 + 4-diphospho-1D-myo-inositol pentakisphosphate + H2O --> H+ + myo-inositol hexakisphosphate + phosphate	0.0
r_0074	4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	1106.9444444444443 prot_Q12494 + 4-diphospho-1D-myo-inositol pentakisphosphate + ATP + H+ --> 4,5-bis(diphospho)-1D-myo-inositol tetrakisphosphate + ADP	0.0
r_0075	5'-methylthioadenosine phosphorylase	40.44551282051282 prot_Q07938 + 5'-S-methyl-5'-thioadenosine + phosphate --> adenine + S-methyl-5-thio-alpha-D-ribose 1-phosphate	0.0013291366958389087
r_0076_EXP_1	5'-nucleotidase (CMP)	0.029597457627118642 prot_P40025 + CMP + H2O --> cytidine + phosphate	0.0
r_0076_EXP_2	5'-nucleotidase (CMP)	51.769157967243395 prot_P53078 + CMP + H2O --> cytidine + phosphate	0.0
r_0077	5'-nucleotidase (IMP)	1.056172839506173 prot_Q99312 + H2O + IMP --> inosine + phosphate	0.0
r_0078_EXP_1	5'-nucleotidase (UMP)	0.029597457627118642 prot_P40025 + H2O + UMP --> phosphate + uridine	0.0
r_0078_EXP_2	5'-nucleotidase (UMP)	201.12835425109543 prot_P53078 + H2O + UMP --> phosphate + uridine	0.0
r_0079	5'-phosphoribosylformyl glycinamidine synthetase	112.56379587281619 prot_P38972 + 5'-phosphoribosyl-N-formylglycineamide + ATP + H2O + L-glutamine --> 5'-phosphoribosyl-N-formylglycineamidine + ADP + H+ + L-glutamate + phosphate	0.010240426385259176
r_0080_EXP_1	5,10-methylenetetrahydrofolate reductase (NADPH)	0.12837152777777777 prot_P46151 + 0.11902777777777777 prot_P53128 + 5,10-methylenetetrahydrofolate + H+ + NADPH --> 5-methyltetrahydrofolate + NADP(+)	0.02225559248068932
r_0080_EXP_2	5,10-methylenetetrahydrofolate reductase (NADPH)	0.3705144833549503 prot_P53128 + 5,10-methylenetetrahydrofolate + H+ + NADPH --> 5-methyltetrahydrofolate + NADP(+)	0.0
r_0081	5-aminolevulinate synthase	0.08588252314814815 prot_P09950 + H+ + L-glycine + succinyl-CoA --> 5-aminolevulinate + carbon dioxide + coenzyme A	0.0
r_0082	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase	2396.8888888888887 prot_Q99321 + 5-diphospho-1D-myo-inositol pentakisphosphate + H2O --> H+ + myo-inositol hexakisphosphate + phosphate	0.0
r_0083	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase	1106.9444444444443 prot_Q12494 + ATP + myo-inositol hexakisphosphate --> 5-diphospho-1D-myo-inositol pentakisphosphate + ADP	0.0
r_0084	5-formethyltetrahydrofolate cyclo-ligase	6.683055555555556 prot_P40099 + 5-formyltetrahydrofolic acid + ATP --> 5,10-methenyl-THF + ADP + phosphate	0.0
r_0085	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	72.27272727272727 prot_P05694 + 5-methyltetrahydropteroyltri-L-glutamic acid + L-homocysteine --> L-methionine + tetrahydropteroyltri-L-glutamic acid	0.0
r_0086	5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase	0.4617340067340067 prot_P47095 + S-methyl-5-thio-D-ribulose 1-phosphate --> 5-(methylsulfanyl)-2,3-dioxopentyl phosphate + H2O	0.0013291366958389087
r_0087	5-methylthioribose-1-phosphate isomerase	0.961965811965812 prot_Q06489 + S-methyl-5-thio-alpha-D-ribose 1-phosphate --> S-methyl-5-thio-D-ribulose 1-phosphate	0.0013291366958389087
r_0087_REV	5-methylthioribose-1-phosphate isomerase (reversible)	0.961965811965812 prot_Q06489 + S-methyl-5-thio-D-ribulose 1-phosphate --> S-methyl-5-thio-alpha-D-ribose 1-phosphate	0.0
r_0088	5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	0.9485014619883041 prot_Q06685 + 5-diphospho-1D-myo-inositol pentakisphosphate + 2.0 H+ + phosphate --> 4,5-bis(diphospho)-1D-myo-inositol tetrakisphosphate + H2O	0.0
r_0088_REV	5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4 (reversible)	0.9485014619883041 prot_Q06685 + 4,5-bis(diphospho)-1D-myo-inositol tetrakisphosphate + H2O --> 5-diphospho-1D-myo-inositol pentakisphosphate + 2.0 H+ + phosphate	0.0
r_0089	5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	0.9485014619883041 prot_Q06685 + 5-diphospho-1D-myo-inositol pentakisphosphate + 2.0 H+ + phosphate --> 5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate + H2O	0.0
r_0089_REV	5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4 (reversible)	0.9485014619883041 prot_Q06685 + 5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate + H2O --> 5-diphospho-1D-myo-inositol pentakisphosphate + 2.0 H+ + phosphate	0.0
r_0090_EXP_1	6-phosphofructo-2-kinase	0.4896069182389937 prot_P40433 + ATP + D-fructose 6-phosphate --> ADP + beta-D-fructose 2,6-bisphosphate + H+	0.0
r_0090_EXP_2	6-phosphofructo-2-kinase	0.23751572327044027 prot_Q12471 + ATP + D-fructose 6-phosphate --> ADP + beta-D-fructose 2,6-bisphosphate + H+	0.0
r_0091_EXP_1	6-phosphogluconolactonase	0.8951362104267674 prot_P53315 + 6-O-phosphono-D-glucono-1,5-lactone + H2O --> 6-phospho-D-gluconate + H+	0.0
r_0091_EXP_2	6-phosphogluconolactonase	0.87424298616765 prot_P38858 + 6-O-phosphono-D-glucono-1,5-lactone + H2O --> 6-phospho-D-gluconate + H+	6.34934813059651e-13
r_0092_EXP_1	6PP-IP5 depyrophosphorylation to IP6	0.9485014619883041 prot_Q06685 + 6-diphospho-1D-myo-inositol pentakisphosphate + H2O --> H+ + myo-inositol hexakisphosphate + phosphate	0.0
r_0092_EXP_2	6PP-IP5 depyrophosphorylation to IP6	2396.8888888888887 prot_Q99321 + 6-diphospho-1D-myo-inositol pentakisphosphate + H2O --> H+ + myo-inositol hexakisphosphate + phosphate	0.0
r_0093	6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	1106.9444444444443 prot_Q12494 + 6-diphospho-1D-myo-inositol pentakisphosphate + ATP + H+ --> 5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate + ADP	0.0
r_0094	8-amino-7-oxononanoate synthase	1.1329040404040405 prot_standard + H+ + L-alanine + pimeloyl-CoA --> 8-amino-7-oxononanoate + carbon dioxide + coenzyme A	0.0
r_0095_EXP_1	acetaldehyde condensation	0.27589605734767025 prot_P26263 + 2.0 acetaldehyde --> (R)-acetoin	0.0
r_0095_EXP_2	acetaldehyde condensation	0.11780651340996169 prot_P06169 + 2.0 acetaldehyde --> (R)-acetoin	0.0
r_0095_EXP_3	acetaldehyde condensation	0.27738351254480287 prot_P16467 + 2.0 acetaldehyde --> (R)-acetoin	0.0
r_0096	acetohydroxy acid isomeroreductase	0.6734669095324833 prot_P06168 + 2-acetyllactic acid + H+ + NADPH --> (R)-2,3-dihydroxy-3-methylbutanoate + NADP(+)	0.06773178437260571
r_0097_EXP_1	acetolactate synthase	0.16199092088197148 prot_P07342 + 0.07346952010376134 prot_P25605 + H+ + 2.0 pyruvate --> 2-acetyllactic acid + carbon dioxide	0.0
r_0097_EXP_2	acetolactate synthase	0.08099546044098574 prot_P07342 + H+ + 2.0 pyruvate --> 2-acetyllactic acid + carbon dioxide	0.06773178437260571
r_0099	acetyl-CoA ACP transacylase	0.2585296857817232 prot_P32463 + acetyl-CoA + ACP1 --> acetyl-ACP + coenzyme A	0.0
r_0099_REV	acetyl-CoA ACP transacylase (reversible)	0.29722261474049355 prot_P32463 + acetyl-ACP + coenzyme A --> acetyl-CoA + ACP1	0.0
r_0100	acetyl-CoA C-acyltransferase (palmitoyl-CoA)	0.839527027027027 prot_P27796 + 3-oxooctadecanoyl-CoA + coenzyme A --> acetyl-CoA + palmitoyl-CoA	0.003112777446067193
r_0101	acetyl-CoA C-acyltransferase (tetracosanoyl-CoA)	0.839527027027027 prot_P27796 + 3-oxohexacosanoyl-CoA + coenzyme A --> acetyl-CoA + tetracosanoyl-CoA	0.0003717106244277723
r_0102	acetyl-CoA C-acyltransferase (myristoyl-CoA)	0.839527027027027 prot_P27796 + 3-oxopalmitoyl-CoA + coenzyme A --> acetyl-CoA + myristoyl-CoA	0.003112777444882465
r_0103	acetyl-CoA C-acetyltransferase	3.311825396825397 prot_P41338 + 2.0 acetyl-CoA --> acetoacetyl-CoA + coenzyme A	0.0
r_0103_REV	acetyl-CoA C-acetyltransferase (reversible)	3.863796296296296 prot_P41338 + acetoacetyl-CoA + coenzyme A --> 2.0 acetyl-CoA	0.010251976559931349
r_0104	acetyl-CoA C-acetyltransferase	3.311825396825397 prot_P41338 + 2.0 acetyl-CoA --> acetoacetyl-CoA + coenzyme A	0.022347724063098005
r_0104_REV	acetyl-CoA C-acetyltransferase (reversible)	3.863796296296296 prot_P41338 + acetoacetyl-CoA + coenzyme A --> 2.0 acetyl-CoA	0.0
r_0105	acetyl-CoA C-acyltransferase (lauroyl-CoA)	0.839527027027027 prot_P27796 + 3-oxotetradecanoyl-CoA + coenzyme A --> acetyl-CoA + lauroyl-CoA	0.002857383788379246
