GOterm	CN4	CN22	CN38	CN75	hGR
Amino acid metabolism	1.3	2.02	3.12	5.46	7.79
ETC	40.64	66.17	100.0	100.0	100.0
Glycolysis	1.68	2.99	5.77	11.4	28.36
Nitrogen metabolism	0.94	7.08	0.06	0.07	0.11
PP shunt	11.0	0.83	0.03	0.2	1.84
Ribosome	26.28	29.0	47.31	57.26	74.03
TCA cycle	3.66	7.3	3.91	6.37	0.05
THF cycle	4.03	5.95	18.67	16.87	17.97
