protein	previous_mg_gDW	modified_mg_gDW	flex_mass_mg_gDW	fold_change
P32264	0.012222435849325312	0.018402510797685137	0.006180074948359825	1.505633658015965
Q12482	0.002572137794239356	0.132261385726227	0.12968924793198766	51.42080102490774
P33330	0.26664675317123787	0.3606182043512232	0.09397145117998534	1.3524192590473352
P38698	0.02918915828377166	0.061719947569001836	0.03253078928523018	2.11448192404083
Q12189	0.026336479661299296	0.07949948270889251	0.053163003047593214	3.018607032196286
P16451	0.026423093498594525	0.17687242710184317	0.15044933360324864	6.693857670800401
P38858	0.1161883700186846	0.2920518433282457	0.1758634733095611	2.513606510542148
P12695	0.44490724002344134	1.0102261174070046	0.5653188773835633	2.2706443647754027
