uniprot	mean_abundance_mmol_gDW	core
P25294	9.57375e-06	False
P39730	1.995e-06	False
P25644	3.5868750000000003e-07	False
P49626	2.17375e-06	False
P40693	8.294374999999999e-07	False
P14126	5.360625e-05	True
P26783	2.885e-05	True
Q04373	5.749375000000001e-07	False
P05755	3.203125e-05	True
P07280	2.1431249999999998e-07	False
P26786	2.79875e-05	True
P05317	3.565625e-05	True
P04147	1.15225e-05	True
P05750	1.7860624999999998e-05	True
P25443	2.7656249999999998e-05	True
P33892	2.9656249999999997e-07	False
P53145	2.04625e-07	False
Q01662	1.868125e-06	False
P36534	5.016249999999999e-07	False
P53724	2.0029375e-07	False
P42847	3.7125e-07	False
P47150	3.6381250000000004e-07	False
P48589	4.1931250000000006e-05	True
P19956	8.290625000000001e-07	False
P36528	2.26025e-07	False
P53881	9.7875e-08	False
Q12487	3.3706250000000004e-07	False
P46990	5.641875e-06	False
P24000	1.1841875e-06	False
P35996	4.9225e-07	False
Q03430	1.253625e-07	False
Q03201	2.596875e-07	False
P17558	2.4561875e-07	False
P02400	4.4725e-06	False
Q3E7X9	4.265e-05	True
P32388	2.6970625e-07	False
P36520	4.0325000000000007e-07	False
P36519	4.5681250000000004e-07	False
Q02204	5.350625e-07	False
P53875	3.235625e-07	False
P40525	7.593124999999999e-06	False
Q12213	1.2409375e-06	False
P05738	6.101249999999999e-07	False
Q02950	2.77125e-07	False
P36516	4.959375000000001e-07	False
P41805	3.776875e-05	True
Q07915	7.30625e-07	False
P23369	3.6587499999999996e-07	False
P32904	3.095625e-07	False
P36523	9.016875e-07	False
P0C2H9	3.934375e-06	False
P12686	4.1762500000000004e-07	False
P54780	6.269999999999999e-06	False
P05747	4.93875e-06	False
P32611	3.835625e-07	False
P51401	3.018125e-05	True
P05319	4.30625e-06	False
P38064	2.1746875000000002e-07	False
P26785	1.7665625000000004e-05	True
P29453	9.868125e-06	False
P20084	2.94375e-07	False
Q02753	5.1668750000000006e-05	True
P04449	4.91e-05	True
P38061	4.366875e-05	True
P05748	3.2475e-05	True
P53163	1.6225000000000001e-06	False
Q02642	7.94e-06	False
P05756	1.928125e-05	True
P36526	3.583125e-07	False
P26784	7.945625e-06	False
P41056	3.095625e-05	True
Q04599	4.41625e-07	False
Q06090	4.726875e-07	False
P36517	2.842875e-07	False
P41057	2.213125e-05	True
P05739	2.038125e-05	True
P87262	2.75875e-05	True
P19955	2.1225e-06	False
P27929	2.4040624999999997e-07	False
P21771	1.888125e-07	False
P38754	5.035625e-05	True
P05744	1.974375e-06	False
P14120	2.729375e-05	True
P49167	4.10375e-05	True
Q12754	1.3709375e-07	False
P41058	1.895625e-05	True
P38120	3.175625e-07	False
Q03976	9.40875e-08	False
P36527	2.2478750000000003e-07	False
P46784	6.290625e-05	True
P38701	3.456875e-05	True
Q03246	5.796875e-07	False
P10662	2.9375625e-07	False
P40212	4.1581250000000004e-05	True
P02406	3.1450000000000006e-05	True
P04456	4.918125e-05	True
P26321	2.101875e-05	True
P49166	1.6614375e-05	True
P10622	4.141875e-06	False
P39939	2.781875e-06	False
P47141	4.094375e-07	False
P32902	2.7141250000000004e-07	False
P32387	1.466e-07	False
P22353	5.28125e-07	False
P53733	5.8175e-07	False
P05740	5.131875e-05	True
P53221	5.0975e-05	True
Q12672	3.729375e-06	False
P56628	4.143125e-07	False
P05745	1.082375e-06	False
P0C2H8	2.019375e-05	True
P36105	3.7962500000000003e-06	False
Q12690	5.27e-07	False
P04650	3.5300000000000004e-05	True
P53732	7.341249999999999e-07	False
P05743	8.79625e-06	False
O14455	3.249375e-05	True
P36525	1.8758125e-07	False
Q06678	2.831875e-07	False
Q02326	7.0987500000000004e-06	False
P40496	4.0012500000000004e-07	False
P39938	1.5321250000000002e-05	True
P43535	5.910625000000001e-07	False
Q06630	5.869375e-07	False
P25626	3.723125e-07	False
P25642	4.9075e-07	False
P38011	3.894375e-05	True
P28817	3.196e-07	False
P21560	5.42875e-07	False
P16521	2.5575e-05	True
P53235	1.6604374999999999e-06	False
P32527	7.657499999999999e-06	False
P36008	8.191875e-06	False
P47089	1.1810625e-06	False
P07253	9.956249999999999e-07	False
P31334	2.5669999999999996e-07	False
P40033	2.72625e-07	False
P53292	3.03375e-07	False
P36533	6.974375e-07	False
P05749	2.268125e-05	True
P51402	4.1725e-06	False
P23248	3.101875e-05	True
P36521	3.524375e-07	False
P40858	5.5425e-07	False
P07281	3.2293749999999996e-05	True
Q01855	2.9937499999999996e-05	True
P05759	1.9087500000000003e-05	True
P48164	6.2368749999999995e-06	False
P46654	1.2723125e-05	True
O13516	1.2328125e-06	False
Q03799	6.463125e-07	False
P38175	6.064375e-07	False
Q01163	2.1181249999999998e-07	False
P33759	3.036875e-07	False
P12687	1.8896875e-07	False
P33442	4.861875e-06	False
P17076	3.540000000000001e-05	True
