protein	measured_mg_gDW	adjusted_mg_gDW	fold_change
P04147	0.8109296783746535	2.08955779278864	2.576743518595523
P05750	0.6326637394296757	0.8606793202517302	1.360405641435374
P26785	0.5414421898825709	0.7225315698706088	1.3344574607813866
P05756	0.4492165560406921	0.5530131737752977	1.2310614253611865
P05739	0.5578078461938883	0.6490411234407834	1.1635568195560722
P41058	0.17532855214355664	0.21849037718951217	1.2461768178557433
P26321	0.954669830390737	1.0948874950868612	1.1468755586826647
P49166	0.23244688595730134	0.3198766669614588	1.3761279943333704
P0C2H8	0.3595545856412091	0.4206459357514493	1.1699084159955668
P39938	0.2954889402511566	0.4385720190167006	1.484224819527688
P05759	0.4036322682894231	0.5590859592292867	1.385136925743499
P46654	0.53211686	0.908060036708255	1.706504914556278
