protein	measured_mg_gDW	relaxed_mg_gDW	added_mg_gDW	fold_change
P00856	0.1244097068825561	0.1272455119295709	0.0028358050470147916	1.0227940818933994
P00854	0.6218134765674198	0.6359871438747137	0.014173667307293858	1.022794081893394
P61829	1.6580125656162124	1.695805439817143	0.03779287420093058	1.022794081893393
P07251	3.7571646002951993	3.84280571788129	0.08564111758609094	1.0227940818933943
P38077	0.7340429132811227	0.75077474755972	0.016731834278597257	1.0227940818933965
Q12165	0.3636985934629174	0.3719887689868252	0.008290175523907817	1.0227940818933992
P09457	0.4875099712845447	0.49862231349385616	0.011112342209311454	1.0227940818934051
P32264	0.02105500328	0.08752024352197224	0.06646524024197224	4.156743286053396
P81449	0.23240810237971102	0.23770563169804415	0.005297529318333133	1.0227940818934014
Q06405	0.24172494061412905	0.24723483870616728	0.0055098980920382234	1.0227940818934105
P05374	0.5802740778505087	0.5859492729997433	0.005675195149234646	1.009780197609821
P16451	0.0306451097874405	0.2027232103236882	0.1720781005362477	6.615189559763682
P07275	0.16772672858819115	0.8057981178568774	0.6380713892686862	4.804232006666646
P38858	0.08949454986540485	0.2164150595995762	0.12692050973417135	2.418192615360971
P38698	0.026039691049912786	0.035253493823022924	0.009213802773110139	1.3538368698556813
P00830	3.512661703326766	3.5927296018561874	0.0800678985294212	1.0227940818933945
P30902	0.4233178106051971	0.43296695144706276	0.009649140841865689	1.0227940818933907
Q12349	0.30189974902726724	0.30878127663019195	0.0068815276029247086	1.022794081893401
P81450	0.14291516998119808	0.14617279006955858	0.003257620088360502	1.0227940818933992
P28239	0.006707538790964384	0.021843091966547216	0.015135553175582833	3.2564987914750025
P12695	0.47461200059426184	1.1578756792637974	0.6832636786695356	2.4396257949946922
P81451	0.16099325517917626	0.1646629486220177	0.003669693442841432	1.022794081893414
Q12189	0.07555817722670258	0.07580034815639593	0.00024217092969334997	1.0032050922690572
P33330	0.3453844651148362	0.3614952555773211	0.01611079046248487	1.0466459615001162
P05626	0.5753574987655143	0.5884722447103565	0.013114745944842188	1.0227940818933987
P21306	0.14409045920801802	0.1473748689352622	0.0032844097272441697	1.022794081893393
Q12233	0.2761074927219503	0.28240110952284186	0.006293616800891577	1.0227940818948709
