protein	measured_mg_gDW	required_mg_gDW	fold_change
P00856	0.04587696573253659	0.1136383964790469	2.477025118477985
P00854	0.22929814940760604	0.5679772757031657	2.4770251184780183
P61829	0.6114039455835648	1.5144629307470612	2.4770251184780245
P07251	1.3854812131496934	3.431871766151226	2.477025118478046
P38077	0.2706835537407016	0.6704899617746061	2.4770251184779952
Q12165	0.13411644740085416	0.3322098090129518	2.477025118478019
P48445	0.02378783337428263	0.31189417544253406	13.111499922465715
P13663	0.42385502360956856	0.9455892011159087	2.2309260205605876
P09457	0.17977277502955855	0.44530167936670645	2.4770251184779744
P81449	0.08570214347424733	0.21228636209311688	2.47702511847801
Q06405	0.08913779394820576	0.22079655461542277	2.4770251184780094
P38972	0.460011122486212	1.1642282779337183	2.5308698442799367
P05374	0.046407857493222064	0.5802740778505086	12.503789426936127
P32476	0.08428851148026975	0.6002879186421042	7.121823699337952
P38604	0.07023654273488282	0.09105203330411445	1.2963626875514427
P00830	1.2953190280051239	3.2085377688112184	2.4770251184780143
P30902	0.15610145846127618	0.38666723363963323	2.477025118478013
Q12452	0.03539720662601935	0.11260316317060194	3.181131335031137
Q12349	0.11132768324790054	0.27576146778701305	2.4770251184780085
P81450	0.05270098708677512	0.13054166878252996	2.477025118478062
P24521	0.020056871599999998	0.09212045895770378	4.592962491603316
Q12362	0.008407664000490724	0.01899729462493805	2.259521149254924
P81451	0.05936740979541922	0.14705456528223146	2.47702511847802
P13188	0.21118839080000001	0.21912741745994718	1.037592154710178
P05626	0.21216717663149223	0.5255434258325733	2.4770251184770973
P21306	0.05313438336215978	0.13161520224286227	2.477025118477115
Q12233	0.1018166049862771	0.2522022880290708	2.4770251184771164
P18408	0.022533577685585133	0.02903982193552267	1.2887355190871275
