protein	previous_mg_gDW	modified_mg_gDW	flex_mass_mg_gDW	fold_change
Q12482	0.005247130672104108	0.1390102347043028	0.13376310403219868	26.49261918391666
P38698	0.026039691049912786	0.0593683930489064	0.03332870199899361	2.2799192561505155
P16451	0.0306451097874405	0.19366722750170928	0.16302211771426878	6.319678044719595
P00856	0.1244097068825561	0.12646815454294832	0.002058447660392218	1.0165457158607039
P12695	0.47461200059426184	1.106151447762838	0.6315394471685762	2.3306436549809644
P33330	0.3453844651148362	0.3605448676922514	0.015160402577415188	1.0438942804575027
P07251	3.7571646002951993	3.8193295782135595	0.062164977918360176	1.0165457158606988
P00830	3.512661703326766	3.5707812057847703	0.058119502458004124	1.0165457158606992
P81451	0.16099325517917626	0.16365700383486304	0.002663748655686776	1.0165457158607183
P61829	1.6580125656162124	1.6854455704203641	0.027433004804151784	1.0165457158606974
P38077	0.7340429132811227	0.7461881787538334	0.012145265472710665	1.016545715860701
P00854	0.6218134765674198	0.6321018256690576	0.010288349101637784	1.0165457158606988
P21306	0.14409045920801802	0.14647453900431132	0.0023840797962932925	1.0165457158606974
P81450	0.14291516998119808	0.14527980377589114	0.0023646337946930662	1.0165457158607036
P05626	0.5753574987655143	0.5848772004584135	0.009519701692899174	1.0165457158607034
P81449	0.23240810237971102	0.2362534608054115	0.003845358425700496	1.0165457158607056
P09457	0.4875099712845447	0.4955761727486814	0.008066201464136669	1.0165457158607094
P30902	0.4233178106051971	0.43032190681824223	0.007004096213045152	1.0165457158606952
Q12165	0.3636985934629174	0.3697162470492924	0.006017653586375016	1.0165457158607036
Q12349	0.30189974902726724	0.30689489649309065	0.004995147465823413	1.0165457158607054
Q12233	0.2761074927219503	0.28067588884394284	0.004568396121992557	1.0165457158621665
Q06405	0.24172494061412905	0.24572445279797858	0.0039995121838495296	1.0165457158607147
P28239	0.006707538790964384	0.019148418136993584	0.0124408793460292	2.8547607004208615
