protein	previous_mg_gDW	modified_mg_gDW	flex_mass_mg_gDW	fold_change
P16451	0.012415452765071642	0.04431382578322126	0.031898373018149614	3.569247664321129
P33330	0.15976919798682934	0.3616895497499544	0.20192035176312503	2.2638252823912306
P32264	0.005750759849711341	0.018402510797685137	0.012651750947973796	3.2000137857623896
P49367	0.2726539365242995	0.5449522513663239	0.2722983148420244	1.9986957031069919
P07285	0.012881321922503405	0.03206238581894155	0.019181063896438148	2.4890602076273884
P00856	0.06124939214474812	0.061249392144745986	-2.1371793224034263e-15	0.9999999999999651
Q12189	0.01879360413161142	0.12824726425671867	0.10945366012510725	6.823984551265652
P38858	0.03411327128591647	0.5140328102044597	0.4799195389185432	15.068411525126178
P27472	0.04485511016531227	0.06460302271174691	0.01974791254643464	1.4402600389042464
P05375	0.008413979548481082	0.008530173932764968	0.00011619438428388598	1.013809682281063
P05374	0.5802740778505084	0.588287478501561	0.008013400651052605	1.0138096822810634
