protein	measured_mg_gDW	relaxed_mg_gDW	added_mg_gDW	fold_change
P00856	0.1136383964790469	0.16211070828173524	0.048472311802688337	1.4265487133270651
P00854	0.5679772757031657	0.8102472518533516	0.24226997615018586	1.4265487133270454
P61829	1.5144629307470612	2.1604551452387213	0.6459922144916601	1.426548713327042
P07251	3.431871766151226	4.8957322523063915	1.4638604861551654	1.4265487133270294
P38077	0.6704899617746061	0.9564865922682732	0.2859966304936671	1.426548713327059
Q12165	0.3322098090129518	0.47391347560204966	0.1417036665890979	1.426548713327045
P09457	0.44530167936670645	0.635244537742959	0.18994285837625252	1.426548713327071
P32264	0.012222435849325312	0.08897571218087687	0.07675327633155156	7.279703757724235
P81449	0.21228636209311688	0.30283683670081624	0.09055047460769935	1.4265487133270505
Q06405	0.22079655461542277	0.31497704089367723	0.09418048627825445	1.4265487133270507
P07275	0.3850147942259282	0.8227669200686503	0.43775212584272205	2.136974818650338
P38698	0.02918915828377166	0.06323603115175994	0.03404687286798828	2.166421879555101
P00830	3.2085377688112184	4.57713542575888	1.3685976569476614	1.4265487133270476
P30902	0.38666723363963323	0.5515996446343481	0.16493241099471484	1.4265487133270487
Q02046	0.10540202111264188	0.21829984435520183	0.11289782324255995	2.071116303566014
P09368	0.01808583679762115	0.03045736239967182	0.012371525602050671	1.684044965156266
Q12349	0.27576146778701305	0.39338716705674254	0.11762569926972949	1.4265487133270511
P81450	0.13054166878252996	0.18622404963728015	0.05568238085475019	1.4265487133270203
P81451	0.14705456528223146	0.20978050089223513	0.06272593561000367	1.4265487133270442
P33330	0.26664675317123787	0.5341221410333665	0.26747538786212866	2.003107612153667
P05626	0.5255434258325733	0.7497132979192237	0.2241698720866504	1.4265487133275758
P21306	0.13161520224286227	0.18775549741390252	0.056140295171040244	1.4265487133275656
Q12233	0.2522022880290708	0.35977884948613886	0.10757656145706807	1.426548713327565
