protein	measured_mg_gDW	relaxed_mg_gDW	added_mg_gDW	fold_change
P00401	0.15027233036205045	0.2835792387754299	0.13330690841337944	1.8871021570784436
P00856	0.06124939214474812	0.2751175256100435	0.21386813346529537	4.491759280808368
P00854	0.30613123703538914	1.3750678250990473	1.068936588063658	4.491759280808341
P00163	0.17725528802146923	0.49793822503439455	0.32068293701292533	2.809158646787926
P61829	0.8162728163021216	3.6665009982966805	2.850228181994559	4.491759280808419
P00410	0.07300979049377011	0.13777693312863884	0.06476714263486873	1.8871021570784439
P00420	0.07759223017435715	0.1464244649345565	0.06883223476019934	1.8871021570784436
P32316	0.14602662293185484	3.0303297919070062	2.8843031689751513	20.751899421252435
P07256	0.20393940367285954	0.5728981392483867	0.36895873557552716	2.8091586467879264
P07251	1.8497274346372068	8.308530371497815	6.458802936860608	4.491759280808523
P38077	0.3613840380563813	1.6232501068757477	1.2618660688193664	4.491759280808347
P20049	0.011258626671619783	0.029551588300729063	0.018292961629109282	2.624795116017242
Q12165	0.1790561068882825	0.8042769299008827	0.6252208230126002	4.491759280808505
P07255	0.017795609311727564	0.03358213271868632	0.015786523406958755	1.8871021570784434
P48445	0.3118941754425341	0.32782413632961954	0.015929960887085426	1.0510748905922436
P49367	0.2726539365242995	0.37736103598279236	0.10470709945849288	1.3840292965994319
P09457	0.24001092964449416	1.0780713207261305	0.8380603910816364	4.491759280808491
P81449	0.11441916677538098	0.5139433542656875	0.3995241874903065	4.491759280808451
Q06405	0.11900603296828778	0.534546453057508	0.41554042008922026	4.491759280808492
P00128	0.059137879559114426	0.16612768571618924	0.10698980615707482	2.8091586467879264
P08067	0.09486828396146299	0.26650006019627615	0.17163177623481315	2.809158646787927
P00127	0.07006813508765106	0.19683250754577947	0.1267643724581284	2.8091586467879264
P19955	0.01627797567671049	0.026311597158465688	0.010033621481755198	1.6163924606491873
P21147	0.27474046799297513	0.2799103561676136	0.005169888174638482	1.0188173522903465
P05374	0.5802740778505084	0.58827679010176	0.008002712251251598	1.0137912627096763
P22289	0.030354602649086126	0.08527089450149197	0.054916291852405846	2.809158646787926
P16451	0.012415452765071642	0.042035396255539016	0.029619943490467374	3.3857320430389035
P07245	0.4711009058569384	1.9702619828663277	1.4991610770093893	4.182250465603323
P37299	0.034889927844247874	0.09801134248947574	0.06312141464522786	2.809158646787926
P38698	0.018554106585468057	0.11711174148354647	0.09855763489807842	6.311904102958571
P20967	0.20881967827818368	0.21991874501300385	0.011099066734820168	1.0531514406416924
P08525	0.04456149867224722	0.12518031930897197	0.08061882063672475	2.809158646787926
P00044	0.03860557158659841	0.1290438586620156	0.09043828707541718	3.342622667107772
P05375	0.008413979548481082	0.008530018950868027	0.00011603940238694502	1.0137912627096761
P00830	1.7293537580793068	7.767840792653756	6.038487034574449	4.491759280808484
P30902	0.2084078423887717	0.9361178602430369	0.7277100178542653	4.491759280808483
P33421	0.023408097243561434	0.03581081125091745	0.012402714007356017	1.5298471669143239
Q02046	0.05988304705825437	1.5924764694335076	1.5325934223752533	26.593110198356186
P21801	0.03206680205592286	0.049057306277256005	0.016990504221333143	1.5298471669143239
P41939	0.025097063639941897	0.0822147710072732	0.05711770736733131	3.2758721174228786
P27472	0.04485511016531227	0.0493137773217936	0.004458667156481334	1.0994015428799313
Q12349	0.14863129718670356	0.6676160085569725	0.5189847113702689	4.491759280808435
P81450	0.07036000251873406	0.3160401943112282	0.24568019179249415	4.49175928080843
Q00955	1.045025648284381	1.0747581420652574	0.0297324937808765	1.028451448851699
P81451	0.07926020618662247	0.3560177667375588	0.27675756055093637	4.491759280808526
P18544	0.11453413063235787	0.18555793101899462	0.07102380038663675	1.6201103548305216
P07143	0.13827260476386144	0.38842968328629074	0.2501570785224293	2.809158646787926
Q12189	0.01879360413161142	0.026838128429107724	0.008044524297496303	1.4280458522570008
P33330	0.15976919798682934	2.16729019381329	2.0075209958264604	13.565131584324229
P46367	1.1746796399999733	3.1178258801981817	1.9431462401982085	2.654192491323211
P05626	0.2832600280826759	1.272335860022401	0.9890758319397251	4.491759280808377
P21306	0.07093862096050044	0.3186392090670771	0.24770058810657666	4.4917592808084
Q12233	0.13593325247377347	0.6105794483695244	0.4746461958957509	4.49175928080826
P07257	0.16435173970434835	0.4616901107051087	0.2973383710007603	2.809158646787926
