protein	measured_mg_gDW	required_mg_gDW	fold_change
P00856	0.052813207642052516	0.1244097068825561	2.355655193787072
P00854	0.263966253723134	0.6218134765674198	2.355655193787084
P61829	0.7038434869369382	1.6580125656162124	2.3556551937870873
P07251	1.5949552422631814	3.7571646002951993	2.3556551937870833
P38077	0.31160881066852386	0.7340429132811227	2.355655193787079
Q12165	0.15439381553894432	0.3636985934629174	2.355655193787072
P13663	0.7361453964669016	0.9455892011159078	1.2845141811036553
P09457	0.20695302630466955	0.4875099712845447	2.3556551937870593
P81449	0.09865964381912799	0.23240810237971102	2.355655193787068
Q06405	0.10261473803622433	0.24172494061412905	2.355655193787047
P21147	0.10995969167417075	0.274740467992975	2.4985561873625266
P38972	0.48791523408390125	1.1642282779333764	2.386128156296053
P05374	0.030510116372361774	0.5802740778505087	19.019071273558367
P32476	0.08762151382824664	0.6002879186421042	6.850919282435277
P00830	1.4911612330154376	3.512661703326766	2.355655193787083
P30902	0.17970279000155623	0.4233178106051971	2.355655193787092
Q12452	0.01815788570190743	0.11260316317060194	6.201336709525235
Q12349	0.12815956674114015	0.30189974902726724	2.3556551937870687
P81450	0.06066896817417507	0.14291516998119808	2.355655193787072
P24521	0.020461367692783238	0.09212045895770378	4.502165267778988
Q12362	0.01060375823236004	0.01899729462493805	1.7915624072758485
P81451	0.06834330236606384	0.16099325517917626	2.355655193787038
P05626	0.24424521053972242	0.5753574987655143	2.355655193787073
P21306	0.06116789060981795	0.14409045920801802	2.355655193787087
Q12233	0.1172104871080317	0.2761074927219503	2.355655193783683
P18408	0.018904152205782173	0.029039821935522552	1.5361610306248066
