protein	measured_mg_gDW	required_mg_gDW	fold_change
P00856	0.034235299233212266	0.09585341403582083	2.799841572374275
P00854	0.171111812502103	0.47908596616768556	2.7998415723741896
P61829	0.4562550442296358	1.2774418404395478	2.799841572374165
P07251	1.0339036847097756	2.894766518281301	2.799841572374204
P38077	0.20199532187565689	0.5655548996125387	2.799841572374036
Q12165	0.1000832691427813	0.28021729764507297	2.799841572374179
P13663	0.2424911865362474	0.9455892011159093	3.899478635173255
P49367	0.23445747886261187	0.2726539365242995	1.1629142215764852
P09457	0.1341539190495542	0.3756097196518684	2.7998415723742256
P81449	0.06395450265551642	0.17906247527543434	2.799841572374252
P07285	0.011862219171716468	0.01288132192250142	1.0859116440214522
Q06405	0.06651832788150071	0.18624077972744074	2.799841572374158
P21147	0.24667091079999998	0.27474046799297513	1.1137935442081124
P38972	0.26872131869994015	1.1642282779330753	4.3324745634829105
P05374	0.04315604565335354	0.5802740778505086	13.445951061213993
P32476	0.07044974659234322	0.6002879186421042	8.520795995415915
P38604	0.02093592504194455	0.09105203330411445	4.3490809754856405
P00830	0.9666209135269491	2.7063854184190577	2.799841572374178
P30902	0.11648939845584592	0.3261518605375327	2.799841572374134
P36148	0.02540187482765399	0.027107482089064605	1.0671449360719545
Q12452	0.02438189480357763	0.11260316317060194	4.618310597996647
Q12349	0.08307734585483044	0.2326034066468608	2.799841572374165
P81450	0.03932766768665813	0.11011123893362372	2.7998415723742203
P24521	0.014787597783157297	0.09212045895770384	6.229575642274145
P32462	0.010687994144126819	0.015622718902897162	1.461707285036457
P37254	0.005816436929293343	0.00926442275107468	1.5928003455889348
Q12362	0.005229192743580213	0.01899729462493805	3.632930656124828
P81451	0.04430242947836159	0.12403978381069446	2.7998415723742323
P18544	0.11299929321773239	0.11453413063235787	1.013582716943796
Q12189	0.010440899651612916	0.018793604131610277	1.7999985402318304
P13188	0.1427926632233914	0.21912741745994718	1.534584568376137
P05626	0.15832796837070426	0.44329322791384984	2.799841572374229
P21306	0.039651086006449725	0.11101675899064281	2.7998415723741994
Q12233	0.07597978381867669	0.21273135739551322	2.7998415723739063
P18408	0.013210018155733949	0.029039821935522753	2.198318094129016
