protein	previous_mg_gDW	modified_mg_gDW	flex_mass_mg_gDW	fold_change
P33330	0.1744484494884965	0.36168954975082773	0.18724110026233123	2.073331983238282
P16451	0.015830710004432248	0.14585109868658877	0.1300203886821565	9.213174813116638
Q99297	0.03806399419702313	0.012853100756261216	-0.025210893440761915	0.3376708363744554
P32264	0.006486823808271518	0.018402510797685137	0.011915686989413619	2.8369062181432483
P38698	0.017732073600000002	0.051462692534841856	0.033730618934841854	2.902237701903169
Q12189	0.018793604131610277	0.10540504830977569	0.08661144417816541	5.608559570140544
P49367	0.2726539365242995	0.5449522513663239	0.2722983148420244	1.9986957031069919
P38858	0.03548572479999999	0.40771460977055796	0.37222888497055795	11.489538738984924
P07285	0.01288132192250142	0.026776392663392688	0.013895070740891267	2.078699129211188
P38152	0.012772141853097618	0.07838269195536683	0.06561055010226921	6.1370044943837465
P00856	0.09585341403582083	0.09585341403581842	-2.4147350785597155e-15	0.9999999999999748
P12695	0.27987830685118037	0.8330444239387215	0.553166117087541	2.9764522778168585
P05374	0.5802740778505086	0.5882874785015605	0.008013400651051938	1.0138096822810623
