protein	measured_mg_gDW	relaxed_mg_gDW	added_mg_gDW	fold_change
P00401	0.27961048753338874	0.3799707799915213	0.10036029245813255	1.358928927678896
P00856	0.2872915858737157	0.37317999216072306	0.08588840628700734	1.2989590037097751
P00854	1.435915124929442	1.8651948800901545	0.4292797551607126	1.2989590037097816
P00163	0.4801925257421121	0.6683311700802995	0.18813864433818744	1.3917983605584638
P61829	3.8287451301857818	4.9733829597647725	1.1446378295789907	1.298959003709774
P00410	0.1358487158979252	0.18460874982172504	0.04876003392379985	1.358928927678915
P00420	0.14437522367280708	0.19619566788908782	0.05182044421628074	1.3589289276788914
P32316	0.8125186921989169	4.298455689527719	3.4859369973288024	5.290285295338648
P07256	0.5524809919134764	0.7689421387848929	0.2164611468714165	1.3917983605584683
P07251	8.676186155043027	11.270010123955164	2.5938239689121367	1.298959003709767
P38077	1.6950795716846534	2.20183887164428	0.5067592999596264	1.2989590037097694
Q12165	0.839866504907362	1.0909521584636734	0.2510856535563114	1.2989590037097698
P07255	0.0331121436901765	0.04499704991804079	0.01188490622786429	1.3589289276788874
P07284	0.27566745708392604	0.3016596848897915	0.025992227805865464	1.094288343211844
P49367	0.7906964159204685	1.1805435772535076	0.3898471613330391	1.4930427828981732
P09457	1.1257764067541924	1.4623373997174058	0.3365609929632134	1.2989590037097836
P81449	0.5366855527245878	0.6971325308725564	0.1604469781479686	1.2989590037097674
Q06405	0.5582003468572905	0.7250793664242698	0.16687901956697937	1.2989590037099057
P00128	0.1602071682571417	0.22297607413000647	0.06276890587286477	1.3917983605584805
P08067	0.2570024364111305	0.35769556965654664	0.10069313324541612	1.3917983605584807
Q01217	0.45018264581677947	0.6186826830505349	0.1685000372337554	1.3742926094541936
P23337	0.02901643752090748	0.16282904336395587	0.13381260584304838	5.611613873916506
P00127	0.18981772074242884	0.26418799253426173	0.07437027179183289	1.39179836055849
P05374	1.6827948257664744	1.7061095325235494	0.02331470675707492	1.013854753057287
P22289	0.08223198008172393	0.11445033506322887	0.03221835498150494	1.3917983605585764
P16451	0.015413923384667414	0.09951677526917795	0.08410285188451053	6.456291028938783
P37299	0.0945183794599109	0.13155052557494992	0.03703214611503902	1.3917983605584971
P38698	0.016928058663478077	0.16361767872931243	0.14668962006583436	9.665472100608563
P08525	0.12071909863522859	0.16801664356861112	0.047297544933382535	1.391798360558501
P00044	0.05948236179883932	0.16847634416118706	0.10899398236234775	2.832374826187123
P05375	0.024400540690595128	0.024738604156327608	0.0003380634657324799	1.013854753057287
P00830	8.111570846633313	10.536597985462723	2.4250271388294102	1.2989590037096097
P30902	0.9775414490139027	1.2697862666959676	0.2922448176820649	1.2989590037096306
Q02046	0.07396682372390692	0.23437891316230705	0.16041208943840013	3.168703228857901
P20485	0.05452403402063208	0.07273775721295686	0.018213723192324782	1.3340494429563419
Q12349	0.69715828327444	0.9055800290701984	0.20842174579575845	1.2989590037097962
P81450	0.33002509899062105	0.42868907378408033	0.09866397479345929	1.2989590037097851
P12695	0.2950317924047663	0.5684008929167875	0.27336910051202123	1.9265750591955693
P81451	0.371771694945478	0.48291619047387274	0.11114449552839473	1.2989590037097756
P18544	0.33214897883383776	0.5275408553940657	0.19539187656022794	1.5882657753344336
P07143	0.3745866882936513	0.5213491386541277	0.14676245036047636	1.3917983605584623
Q12189	0.05450145198167168	0.08586825962325949	0.03136680764158781	1.5755224219005426
P33330	0.2053005399367211	1.0417046197023159	0.8364040797655947	5.074047150696224
P46367	1.9633835444474308	3.282009928286654	1.3186263838392234	1.671609165498193
P05626	1.3286372294142705	1.7258452918116571	0.3972080623973866	1.2989590037097603
P21306	0.3327391211862686	0.43221447735138363	0.09947535616511505	1.2989590037097813
Q12233	0.6375978325445247	0.8282134453295606	0.19061561278503591	1.2989590037097951
P07257	0.44523623458377254	0.6196790613549196	0.17444282677114703	1.3917983605584667
