protein	measured_mg_gDW	relaxed_mg_gDW	added_mg_gDW	fold_change
P00401	0.2019994703676272	0.23052565723081309	0.028526186863185893	1.1412191171158514
P00856	0.09585341403582083	0.2230351885250394	0.12718177448921858	2.3268361463024174
P00854	0.47908596616768556	1.1147545432652217	0.6356685770975361	2.326836146302488
P00163	0.26548093691968927	0.4043973841070687	0.13891644718737944	1.523263360447621
P61829	1.2774418404395478	2.9723978491339413	1.6949560086943936	2.3268361463025085
P00410	0.09814141416361112	0.11200085802429736	0.013859443860686244	1.141219117115851
P00420	0.10430123338142729	0.11903056147364681	0.014729328092219524	1.1412191171158514
P32316	0.2414838869403105	2.8935358930074644	2.6520520060671537	11.982314553859583
P07256	0.3054465938153324	0.46527560493242276	0.15982901111709036	1.523263360447621
P07251	2.894766518281301	6.7356473698430985	3.8408808515617974	2.326836146302476
P38077	0.5655548996125387	1.3159535831370024	0.7503986835244637	2.326836146302616
Q12165	0.28021729764507297	0.6520197369797612	0.37180243933468826	2.3268361463024965
P07255	0.02392126113421865	0.027299400511890733	0.0033781393776720833	1.1412191171158512
P49367	0.2726539365242995	0.3495680924942362	0.07691415596993673	1.282094426914984
P09457	0.3756097196518684	0.8739822725885003	0.49837255293663185	2.3268361463024583
P81449	0.17906247527543434	0.416649039917267	0.23758656464183264	2.3268361463024365
Q06405	0.18624077972744074	0.4333517781853737	0.24711099845793294	2.3268361463025147
P00128	0.08857270126065774	0.13491955056623273	0.04634684930557499	1.523263360447621
P08067	0.14208727531447085	0.21643634047236715	0.0743490651578963	1.523263360447621
P00127	0.10494329595984693	0.15985627766024568	0.05491298170039875	1.523263360447621
P19955	0.02211208586550311	0.02427469090675641	0.002162605041253301	1.0978019466099833
P21147	0.27474046799297513	0.27591719289784133	0.0011767249048661999	1.0042830417865354
P05374	0.5802740778505086	0.5882767901017606	0.008002712251252042	1.0137912627096772
P22289	0.04546306313935305	0.06925221833389329	0.023789155194540244	1.523263360447621
P16451	0.015830710004432248	0.03635455884131801	0.020523848836885763	2.296457886673405
P07245	0.4622639956098288	1.4142881972243841	0.9520242016145554	3.059481617984598
P37299	0.0522557653232291	0.07959929268902421	0.027343527365795116	1.523263360447621
P38698	0.017732073600000002	0.08659455077771722	0.06886247717771721	4.883498271613152
P08525	0.06674118752734079	0.10166440559316196	0.034923218065821174	1.5232633604476207
P00044	0.0518380381593484	0.06899111139564522	0.01715307323629682	1.330897422922697
P00830	2.7063854184190577	6.297315417403474	3.590929998984416	2.326836146302498
P30902	0.3261518605375327	0.7589019382825541	0.43275007774502144	2.326836146302534
Q02046	0.06622996754243687	1.1624500859735047	1.0962201184310678	17.551723624636605
P41939	0.07576568639999999	0.07879530613978455	0.0030296197397845642	1.0399866995699067
Q12349	0.2326034066468608	0.5412300143390169	0.30862660769215605	2.3268361463025085
P81450	0.11011123893362372	0.25621081086490266	0.14609957193127893	2.3268361463024623
P81451	0.12403978381069446	0.28862025255026563	0.16458046873957116	2.3268361463024525
P18544	0.11453413063235787	0.18136048576115663	0.06682635512879875	1.5834623684646816
P07143	0.20709532038665973	0.31546071366515993	0.1083653932785002	1.5232633604476207
Q12189	0.018793604131610277	0.020970191086738973	0.002176586955128696	1.115815302902318
P33330	0.1744484494884965	1.652937529079184	1.4784890795906873	9.47522052460651
Q99297	0.03806399419702313	0.07250998295997993	0.0344459887629568	1.9049494013860142
P46367	1.4511013724419344	2.4298436027656054	0.978742230323671	1.6744823269491018
P05626	0.44329322791384984	1.0314707061210382	0.5881774782071884	2.3268361463024547
P21306	0.11101675899064281	0.2583178076647785	0.1473010486741357	2.32683614630248
Q12233	0.21273135739551322	0.49499101183992333	0.28225965444441015	2.3268361463027234
P07257	0.2461548782443463	0.3749587070250579	0.12880382878071162	1.523263360447621
