protein	measured_mg_gDW	required_mg_gDW	fold_change
P00856	0.02452957253306645	0.06124939214474812	2.496961252063503
P00854	0.12260151685669884	0.30613123703538914	2.496961252063517
P61829	0.3269064810787747	0.8162728163021216	2.496961252063474
P07251	0.7407914051964747	1.8497274346372068	2.496961252063416
P38077	0.14472953385148843	0.3613840380563813	2.4969612520635143
Q12165	0.07170960572188097	0.1790561068882825	2.496961252063426
P48445	0.02109786836862816	0.3118941754425341	14.78320795224557
P13663	0.20091471230824523	0.9455892011159095	4.706420899954692
P49367	0.20194338197220035	0.2726539365242995	1.3501503929543637
P09457	0.09612120710569874	0.24001092964449416	2.496961252063434
P81449	0.04582336497245461	0.11441916677538098	2.496961252063456
P07285	0.009244327460804159	0.012881321922503405	1.3934298603246218
Q06405	0.04766034429646989	0.11900603296828778	2.4969612520634334
P21147	0.1823386311260891	0.27474046799297513	1.5067595182448703
P38972	0.2520049564394557	1.1642282779329152	4.619862618506162
P05374	0.04040305460465225	0.5802740778505084	14.36213384182324
P32476	0.05126590884789451	0.6002879186421042	11.709300237379054
P05375	0.007017944940143651	0.008413979548481082	1.1989235624166716
P00830	0.6925833377070645	1.7293537580793068	2.4969612520634383
P30902	0.08346458809344666	0.2084078423887717	2.496961252063438
P36148	0.022843478915760454	0.027107482089066832	1.1866617247325015
Q12452	0.022758014588502105	0.11260316317060194	4.947846515024723
Q12349	0.05952487130662364	0.14863129718670356	2.4969612520634645
P81450	0.028178251649115155	0.07036000251873406	2.496961252063468
P24521	0.013013033144246467	0.09212045895770384	7.079092010031006
P37254	0.004547940423039477	0.009264422751075948	2.037058951815458
Q12362	0.004188874821549507	0.01899729462493805	4.5351784033285485
P81451	0.03174266565855765	0.07926020618662247	2.496961252063415
P18544	0.1029409412	0.11453413063235787	1.1126198118767334
Q12189	0.007980294919594736	0.01879360413161142	2.3550012024575424
P13188	0.12290499855864723	0.21912741745994718	1.7829007772648482
P05626	0.1134418997686043	0.2832600280826759	2.496961252063497
P21306	0.02840998069228222	0.07093862096050044	2.496961252063485
Q12233	0.054439472122939134	0.13593325247377347	2.496961252063562
P18408	0.012768184695667952	0.029039821935522625	2.274389243866075
