protein	measured_mg_gDW	required_mg_gDW	fold_change
P00401	0.19586188934521737	0.27961048753338874	1.4275900659804208
P00856	0.04674364724513464	0.2872915858737157	6.14610974550384
P00854	0.23362991947546768	1.435915124929442	6.146109745503808
P00163	0.3570031572836162	0.4801925257421121	1.345065207254259
P61829	0.6229542407677768	3.8287451301857818	6.1461097455038445
P00410	0.09515947129026199	0.1358487158979252	1.427590065980401
P00420	0.10113212967313173	0.14437522367280708	1.4275900659804255
P07256	0.41074662323716044	0.5524809919134764	1.3450652072542546
P07251	1.4116549352848768	8.676186155043027	6.146109745503877
P38077	0.27579715330086224	1.6950795716846534	6.146109745503867
P20049	0.010330203772919907	0.019380760284347577	1.8761256515726472
Q12165	0.13665009895434413	0.839866504907362	6.146109745503866
P07255	0.023194434088076952	0.0331121436901765	1.4275900659804297
P13663	0.48698436	2.7422086832361363	5.630999490899741
P49367	0.34963281943367314	0.7906964159204685	2.261505133303045
P09457	0.1831689399262284	1.1257764067541924	6.1461097455038
P81449	0.08732117956683001	0.5366855527245878	6.146109745503876
P07285	0.011107051352484751	0.03735583357525305	3.363253881679065
Q06405	0.09082173439315751	0.5582003468572905	6.146109745503222
P00128	0.11910736177927135	0.1602071682571417	1.3450652072542428
P08067	0.19107061503416925	0.2570024364111305	1.3450652072542428
P00127	0.14112157516133783	0.18981772074242884	1.345065207254234
P53199	0.06878598452463883	0.12854257398923422	1.8687320517043824
P21147	0.19224373976015122	0.7967473571796275	4.144464512465645
P53045	0.01998105485498398	0.02211135068990451	1.1066157843207742
P38972	0.4361454300729149	3.376262006007724	7.741138100296683
P05374	0.06420361080462726	1.6827948257664744	26.210283264086957
P32476	0.05486887771053044	1.7408349640621017	31.72718372783485
P22289	0.061136054697001896	0.08223198008172393	1.3450652072541505
P37299	0.07027048127492473	0.0945183794599109	1.3450652072542268
P04801	0.42926462881820737	0.4988488127469354	1.1621009029332272
P08525	0.08974962550823914	0.12071909863522859	1.345065207254223
P08524	0.42704179421841565	0.4416959631172679	1.0343155379572924
P05375	0.008438519483048803	0.024400540690595128	2.8915665525938103
P00830	1.3197894574801996	8.111570846633313	6.1461097455046225
P30902	0.15905043832465085	0.9775414490139027	6.146109745504523
P36148	0.03582292734159357	0.07861169805829706	2.194452097917245
Q12452	0.015124974633723158	0.32654917319474563	21.590064188713445
Q12349	0.11343082244576816	0.69715828327444	6.146109745503739
P81450	0.05369658412495027	0.33002509899062105	6.146109745503791
P24521	0.011291191391458066	0.2671529531022092	23.66029800046733
Q00955	1.1477706702247867	2.9653439920280493	2.583568363397278
P22768	0.5732167938049126	0.9318926708816919	1.6257246489516675
Q12362	0.004688745642588283	0.055092154412320335	11.74987056493607
P81451	0.06048894509530134	0.371771694945478	6.146109745503836
P18544	0.10591934779206906	0.33214897883383776	3.1358669191003847
P07143	0.2784896124540395	0.3745866882936513	1.3450652072542604
Q12189	0.04154626420985096	0.05450145198167168	1.311825576094732
P13188	0.2792691330382714	0.6354695106338467	2.2754734965527366
P05626	0.21617531811666957	1.3286372294142705	6.146109745503908
P21306	0.05413816787597782	0.3327391211862686	6.14610974550381
Q12233	0.1037400663095817	0.6375978325445247	6.146109745503744
P06780	0.08725786043226363	0.26779700276933455	3.0690301302679717
P18408	0.029250059279734147	0.08421548361301531	2.87915599786028
P07257	0.3310146096876997	0.44523623458377254	1.3450652072542564
