rxnID	rxnName	CN4	CN22	CN38	CN75	hGR
r_1549				0.0019322340550643		
r_1634				0.2406141804903722	0.4198911068793763	0.6413341359619076
r_1672	carbon dioxide exchange	3.229176283454896	4.27293108741515	6.571647445802891	8.272932876582356	11.58420205391265
r_1683					0.0010904843421756	
r_1761				0.7996158647201344	2.168813170882636	3.496831313803157
r_1793			0.1986301400317869		0.3491892575708929	0.9510029959294414
r_1808				0.066153787323437	0.1157038582709918	
r_1810	L-glycine exchange	0.0068311412697142	0.2076770232158511	0.0155087030876525	0.3748535559660657	0.996324736183962
r_1815			0.2575129293082672		0.783478631414502	0.0071874733431866
r_1832	H+ exchange	0.5850009938873705	1.3145526838464348	0.649762262108479	2.29180999460509	4.002256814484493
r_1989			0.0080815282573488		0.0166326618122334	0.0063998896030705
r_2100	water exchange	4.68513345147523	6.312575462445364	6.834879004781025	8.174518882425915	12.846742954215811
r_2111	growth	0.0950071291584461	0.0950730676645086	0.0952804486701405	0.0953284579997225	0.2756365932970081
r_4531					0.0014915939355385	
r_4737				0.0057602256318961		0.070690061773398
